id,label,mail
14,0,"Subject: re : pg & e texoma volumes
daren and lauri :
we do have a problem with some of our mirrored meters . when mips receives an
"" incomplete "" from the parent meter it sends a - 0 - to pops . yes , this is a
big problem . our pops team ( romeo d ' souza ) has identified this problem and
notified mips . however , he was told this was not a priority item . in the
mean time we are overriding the volumes in pops with the estimated volumes .
this particular meter was correct last night , the 14 th rolled last night from
mips and overrode the bav with a - 0 - from day 14 forward .
this was corrected this morning and the meter re - allocated .
thanks ,
charlotte
lauri a allen
03 / 21 / 2000 09 : 04 am
to : robert e lloyd / hou / ect @ ect , tom acton / corp / enron @ enron , charlotte
hawkins / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , pat clynes / corp / enron @ enron , bryan
hull / hou / ect @ ect , gary a hanks / hou / ect @ ect
subject : pg & e texoma volumes
in reviewing some of the imbalance numbers , i discovered that valero texoma
( # 71 ) bav volumes have not fed into pops since 3 / 14 causing an out of balance
at the meter in excess of 500 , 000 mm month to date . the more critical part of
this problem , however , is that pops has fed 0 volumes back to sitara on some
of the hplc deals . this means that these purchase volumes ( expenses ) have
not been picked up in tom ' s p & l and are , instead , sitting in ua 4 . to the
extent that the purchase prices vary from the ua 4 value , the p & l may take a
hit when these actual volumes flow through .
i realize that kim is out and that you guys are stretched thin , however , a
problem of this magnitude needs to be addressed as soon as it ' s discovered .
someone needs to be overriding the 0 volumes so that sitara is receiving
correct information and the p & l is kept as accurate as possible .
please give me a call if you have any questions ."
15,0,"Subject: re : discrepancies in price of gas redelivered at mobil beaumont
thank you , darren ."
16,0,"Subject: may hours survey
attached please find the hours survey and instructions for the month of may ,
2000 .
i am sending the survey out this time as an opportunity to introduce myself
to those of you i have not yet met . i am being asked to take a direct roll
in the further development and rollout of the operations pricing model ( fka
transaction cost model ) . in the past , i have directed the implementation of
several pricing systems based on activity based costing similar to the
operations pricing model ( opm ) . over the past couple of weeks my
observations of the model have lead me to be concerned with the quality of
data used in the model . it will take efforts by both you and the opm team to
get to a satisfactory level of data quality . this process can start with
this months data collection efforts . please pay particular attention this
month as the "" bar is being raised "" by the management of energy operations for
data quality and timeliness .
while completing the survey , take this time to review last month ' s numbers .
please return these surveys to shari mao by end of day friday , june 2 .
please note the following changes :
the nat gas rc ' s will now see deal validation and transportation rate
activities therefore , these surveys will be notably longer but will not
necessarily take more time
if the survey does not contain an activity that your team spends time on ,
please do not type any activities in the survey . contact jennifer reside at
# 35971 to discuss how to proceed .
if you have any questions relating to the model or this survey , or are unable
to meet the survey due date , please call jennifer reside at # 35971 ( shari is
on vacation this week ) ."
17,0,"Subject: occidental battleground meter 98 - 1485 october 2000
daren ,
a sale to oxy vinyls went into effect 10 / 01 through 10 / 16 for 5 , 000 per day .
we also delivered gas to entex , 10 , 000 / day for the entire month . more gas
was pulled towards the end of the month than confirmed and i need to know if
oxy vinyls should get the swing for the remaining of the month even though
their deal went to zero . please advise .
susan"
18,1,"Subject: you need this abazis
biggest stores of on ' line pharmacies .
over than 150 major meds
highest qualities assured on our online generic meds
at the most competitive prices .
vi ' sit us today ' s !
http : / / www . ilovemeds . com / index . php ? aid = 8
this is 1 - time mailing . no - re moval are re ' qui - red
g 58 hkezdjo 74 plxjdtrno 4 zbwd 37 j 20 bhlni
"
19,0,"Subject: nominations for eastrans reciept for 3 / 15 and following .
also , 23 , 000 mmbtu into enron ' s cartwheel agreementat the hub .
- - - - - - - - - - - - - - - - - - - - - - forwarded by bruce mcmills / ftworth / pefs / pec on
03 / 15 / 2000
03 : 48 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
bruce mcmills
03 / 15 / 2000 03 : 28 pm
to : dfarmer @ enron . com , stacey . neuweiler @ enron . com , briley @ enron . com
cc : jim i . fields / gcs / cec / pec @ pec , chad w . cass / gcs / cec / pec @ pec , william e .
speckels / gcs / cec / pec @ pec , michael r . cherry / easttexas / pefs / pec @ pec ,
darrel
f . bane / easttexas / pefs / pec @ pec
subject : nominations for eastrans reciept for 3 / 15 and following .
as we discussed , due to weather we decided to reschedule our maintenance ,
and noms have been returned to 75 , 000 mmbtu / d effective today and following ,
until further notice . 15 , 000 mmbtu will come from cipco into mobil beaumont ,
50 , 000 into pg & e , and 7 , 000 from fuels cotton valley into hpl .
unless a problem arises , we plan to stay at this level until tuesday ,
3 / 21 / 2000 ,
when we will go down some for 1 day only ."
20,0,"Subject: re : hilcorp old ocean volume
are we going to have some quality problems with this gas ? edg
to : daren j farmer / hou / ect @ ect , gerard krenek / gco / enron @ enron , jill t
zivley / hou / ect @ ect , james mckay / hou / ect @ ect , edward d gottlob / hou / ect @ ect ,
lauri a allen / hou / ect @ ect
cc : linda roberts / na / enron @ enron , george weissman / hou / ect @ ect , vance l
taylor / hou / ect @ ect
subject : re : hilcorp old ocean volume
well - i have officially not heard from hilcorp after numerous voice and email
messages . please plan to have the gas rerouted back down the valley line for
the dec 1 forward . call if you have any questions -
daren j farmer
11 / 21 / 2000 10 : 08 am
to : mary jo johnson / hou / ect @ ect
cc :
subject : re : hilcorp old ocean volume
thanks for the info . i appreciated the call the other day . it really helps
me out to recieve info early like that .
d
from : mary jo johnson 11 / 20 / 2000 03 : 38 pm
to : daren j farmer / hou / ect @ ect , james mckay / hou / ect @ ect , gary a
hanks / hou / ect @ ect
cc : jill t zivley / hou / ect @ ect
subject : hilcorp old ocean volume
according to gary hanks , we would like to have the gas on the valley line
anyway
- - - - - - - - - - - - - - - - - - - - - - forwarded by mary jo johnson / hou / ect on 11 / 20 / 2000
03 : 26 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
to : jill t zivley / hou / ect @ ect
cc : edward d gottlob / hou / ect @ ect , lauri a allen / hou / ect @ ect
subject : re : producer service group ?
i can not believe you are sending emails form hawaii ! ! ! ! you are crazy . i
took care of camden for the month -
it is now 330 and hilcorp has not responded . i spoke with jerry bubert
several times today - emailed mike lannou and left messages , and had him
paged , and copied hildebrand ( the president ) . if we don ' t hear by 4 pm , we
are supposed to bypass the gas . . . . . . . . . . ."
21,0,"Subject: cornhusker contact information
lone star pipeline
lisa mcauliff ( contracts ) wilma easter ( scheduling )
phone : 214 - 875 - 5224 phone : 214 - 875 - 3296
fax : 214 - 875 - 5134 fax : 214 - 875 - 3810
301 s . harwood # 801 n
dallas , tx 75201
williams energy
jeff goforth
phone : 918 - 573 - 8125
fax : 918 - 573 - 1530
po box 2848
tulsa , ok 74101
cinergy marketing & trading ( agent for apache )
lisa hughes
phone : 281 - 583 - 6279
fax : 281 - 583 - 4353
616 fm 1960 w # 800
houston , tx 77090
( note : cinergy will be moving downtown next month )
white pine energy , llc
michael mazowita - director of asset mgmt
phone : 248 - 442 - 4823
fax : 248 - 477 - 5729
cell : 248 - 345 - 4002
19436 auburndale street
livonia , mi 48152
cleburne plant
mike gough - plant manager ken riesz - operations supervisor
phone : 817 - 641 - 5041 phone : same
fax : 817 - 641 - 5042
tenaska iv texas partners
831 sparks drive
cleburne , tx 76031"
22,1,"Subject: confidence is back
hello ,
my boyfriend began having problems with erections ( he ' s older )
and i suggested he look into vlagrra softtabs .
boy , am i glad he did !
the first time he tried it , one 50 mg piil did nothing so he took another and that was a mistake . three hours later he was still rock hard and had come multiple times ( so had i ) ! ! since then a single 50 mg dose does ithe first of these was that he should have been brought to trial att very well - - he ' s now good for almost 2 hours of good hard sex that leaves both of us worn out .
- bobbie , 21 female usa
try it with pharmacybymail shop .
http : / / tabboulehs . net / cs / ? aa
rockky
"
23,1,"Subject: best rates on medication , shipping worldwide !
malikadna duddery persimmon humankind omnipotency
searching for medications ? dumbfounderment oftenest ungarment
we ` ve got anything you will ever need . nonsmokers dazzlers photologist sextar
a modest man is usually admired , if people ever hear of him . phyla exempts
thou hast the keys of paradise , oh just , subtle , and mighty opium ! slaughtering unpruned ."
24,0,"Subject: new book
please create the following books to be used in sitara and tagg . let me know
if i forgot any information .
dave"
25,0,"Subject: re : pg & e texas contract 5098 - 695 for 2 / 00
this issue still has not been resolved , and it is effecting the pg & e
contract 5095 - 037 , hplc transport contract ta 99 - 027 , several deals on the
interconnect report , and causing payment issues for katherine herrera to
panenergy marketing . i have sent several emails , faxed the daily ' s and left
voice messages , but have not received any updates to this issue .
- - - - - - - - - - - - - - - - - - - - - - forwarded by sherlyn schumack / hou / ect on 05 / 22 / 2000
09 : 27 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
stacey neuweiler 03 / 22 / 2000 12 : 43 pm
to : sherlyn schumack / hou / ect @ ect
cc :
subject : re : pg & e texas contract 5098 - 695 for 2 / 00
sherlyn -
i am looking into this with lorraine to figure this out . we did not nominate
this for the days you are referring to , but lorraine says she flowed this gas
even though i cut the volume . i will let you know when this is resolved .
thanks ."
26,1,"Subject: the boss and his secretary get wild
marianne has always been known as the office bicycle
everyone has had a ride . watch as her co - workers take her
on an all orifice , office extravaganza .
see her break in her new desk with the water delivery guy
and then with her boss .
take a look as sara takes dik - tation from her law partner .
nomore of this
here
the connecticut disco cowry colonel .
all good gratuitous salerno bass ' realbrechtcomplex forever
if you went disquietude parry rafferty .
all good gully zinc huge things that mendacious giovanni meat .
even if you say termite corporal obligate .
babysitter commission aspen and that can ' t happen .
if you montana angelina bungle
even if you say mutt bakery puddle .
wobble chocolate inductor and that can ' t happen .
paliourg @ iit . demokritos . gr .
"
27,0,"Subject: re : revised nomination - june , 2000
daren ,
fyi . per our discussion , the following nominations were revised on eog
resources :
meter # orig nom rev nom deal #
5263 4 , 755 5 , 820 126355
6067 3 , 726 4 , 600 126281
6748 2 , 005 3 , 300 126360
6742 4 , 743 10 , 120 126365
6296 5 , 733 2 , 300 126281
bob
daren j farmer
05 / 31 / 2000 05 : 51 pm
to : robert cotten / hou / ect @ ect
cc :
subject : re : revised nomination - june , 2000
bob ,
go ahead and accept the nom revision . i believe that this is with pge , not
el paso . how do the rest of our noms compare with eog ? i f they have a
higher volume at another meter than we do , i would like to increase our nom
there . in effect , i want to keep our physical index position as close as
possible to what we have in the system now .
d
enron north america corp .
from : robert cotten 05 / 31 / 2000 04 : 04 pm
to : daren j farmer / hou / ect @ ect
cc :
subject : revised nomination - june , 2000
daren ,
charlotte hawkins is having trouble confirming the volume of 5 , 733 with el
paso . el paso will not confirm the volume that high . eog revised their
nomination as follows :
c / p name meter # orig nom rev nom
eog res . 6296 5 , 733 2 , 300
will you approve revising the volume in unify down to 2 , 300 ? please advise .
thanks .
bob"
28,0,"Subject: revised july 2000 availabilities
revised july ' 00 availabilities - revision # 1
garden banks , searobin , transco , texas desk
thanks ,
beverly
- - - - - - - - - - - - - - - - - - - - - - forwarded by beverly beaty / hou / ect on 06 / 28 / 2000 09 : 15
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron capital & trade resources corp .
from : "" steve holmes ""
06 / 28 / 2000 08 : 44 am
to :
cc :
subject : revised july 2000 availabilities
the attached reflects final revised availabilities for the month of july
2000 . i have highlighted those properties that have changed . let me know of
any quetions you have .
thanks ,
steve
- enronavailso 700 revl . xls"
29,0,"Subject: re : atmic hurta # 1 - new production
vance ,
deal # 303948 has been created and entered in sitara .
bob
vance l taylor
06 / 19 / 2000 02 : 56 pm
to : vance l taylor / hou / ect @ ect
cc : robert cotten / hou / ect @ ect , hillary mack / corp / enron @ enron , lisa
hesse / hou / ect @ ect , heidi withers / hou / ect @ ect , susan smith / hou / ect @ ect , donald
p reinhardt / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : re : atmic hurta # 1 - new production
auugghh !
that ' s the marquee corporation
vlt
x 3 - 6353
vance l taylor
06 / 19 / 2000 02 : 54 pm
to : vance l taylor / hou / ect @ ect
cc : robert cotten / hou / ect @ ect , hillary mack / corp / enron @ enron , lisa
hesse / hou / ect @ ect , heidi withers / hou / ect @ ect , susan smith / hou / ect @ ect , donald
p reinhardt / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : re : atmic hurta # 1 - new production
revision , the correct counterparty name should be marque cooperation acting
as seller and seller ' s representative .
thanks ,
vlt
x - 6353
vance l taylor
06 / 19 / 2000 02 : 10 pm
to : robert cotten / hou / ect @ ect
cc : hillary mack / corp / enron @ enron , lisa hesse / hou / ect @ ect , heidi
withers / hou / ect @ ect , susan smith / hou / ect @ ect , donald p reinhardt / hou / ect @ ect ,
melissa graves / hou / ect @ ect
subject : atmic hurta # 1 - new production
bob ,
the following production commenced to flow on friday and a ticket should be
created and entered into sitara based on the following :
counterparty meter volumes price period
iss , l . l . c 9837 3 , 500 mmbtu / d 100 % gas daily less $ 0 . 09 6 / 16 - 6 / 30
fyi , susan will create and submit a committed reserves firm ticket for the
remaining term of the deal beginning with the month of july . additionally ,
this is a producer svcs . deal and should be tracked in the im wellhead
portfolio . . . attached to the gathering contract .
thanks ,
vlt
x 3 - 6353"
30,0,"Subject: re : new eol product
the texas gas group will definitely be rolling out a "" super peak "" 5 x 8 product
for gas delivery from 1300 to 2100 cdt . if we decide to roll out another
product , probably a "" peak "" 5 xl 2 ( 900 to 2100 cdt ) we will let you know
sometime today .
we will relay the prices to you on monday .
dale neuner 06 / 23 / 2000 09 : 43 am
to : steve venturatos / hou / ect @ ect , melba lozano / hou / ect @ ect , sheri
thomas / hou / ect @ ect , robert b cass / hou / ect @ ect
cc :
subject : re : new eol product
steve -
one issue that immediately comes to mind is the ' general terms and
conditions ' ability to handle intra - day nominations . . this may require a new
product type and gtc .
are we presently trading this product otc , or is this unprecedented ?
dale
to : dale neuner / hou / ect @ ect
cc :
subject : new eol product
- - - - - - - - - - - - - - - - - - - - - - forwarded by melba lozano / hou / ect on 06 / 23 / 2000 09 : 30
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : steve venturatos 06 / 23 / 2000 09 : 29 am
to : sheri thomas / hou / ect @ ect , melba lozano / hou / ect @ ect
cc :
subject : new eol product
we are finalizing plans to introduce a new gas products ( s ) for july . the
product ( s ) would be an hourly product either 5 x 8 or 5 xl 2 or 5 xl 6 .
even though we have not decided which product to introduce , i thought i would
give you a heads up to keep you in the loop ."
31,1,"Subject: teac 24 xl 0 x 24 pcmcia ext . cd - rw drive
ideal
for
notebook users !
$
68 . 00
24 x 10 x 24 pcmcia cd - rw drive
this external drive offers a
pcmcia type ii interface for easy connection to any computer
offering a pc card slot . create discs with 24 x write and 10 x rewrite
speeds and access cd media at 24 x ! a 2 mb buffer helps keep errors
to a minimum
visit : http : / www . computron - me . com for deals
!
your one stop
distributorjebel ali duty free zonedubai , uae . www . computron - me . com
for latest clearance sale listing contact our
sales department .
only limited quantities available on selected
specials ! ! ! !
for further details please send
your enquiries to : dealers @ emirates . net . aeor contact via www . computron - me . com
compaq
hewlett packard
3 com
dell
intel
iomega
epson
aopen
creative
toshiba
apc
cisco
us
robotics
microsoft
canon
intellinet
targus
viewsonic
ibm
sony
- - - - - - - and lots more
! ! !
if you have any
complaints / suggestions contact : customerservice @ computron - me . com
tel + 971
4 8834464
all prices in u . s . dollars , ex - works ,
fax + 971 4
8834454
jebel ali duty free zone
www . computron - me . com
prices and availability subject to change
usa -
canada u . a . e .
without
notice .
to receive our special offers
in plain
text format reply to this
mail with the request * for
export only *
this
email can not be considered spam as long as we include : contact
information remove instructions . this message is intended for dealer
and resellers only . if you have somehow gotten on this list in error , or
for any other reason would like to be removed , please reply with "" remove
"" in the subject line of your message . this message is being sent to you
in compliance with the federal legislation for commercial e - mail
( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii
passed by the 105 th u . s . congress .
all logos and
trademarks are the property of their respective
owners
products may not be exactly as shown
above
- -
to unsubscribe from : computron 6 , just follow this link :
click the link , or copy and paste the address into your browser ."
32,0,"Subject: y 2 k pbas
the y 2 k pbas will be available for distribution on february 15 th ."
33,0,"Subject: valero - - meter 8018
the plant went down at 0001 hrs this morning . my information is they moved
their turnaround up and will be down for as long as 3 weeks . please let us
know how the economics should be handled - - - - buyback , force majure , no deal ,
or what .
thanks
ken"
